4f14.6s                         | 2S        |     1/2 |0
                                |           |         |                
4f13.(2F*).6s2                  | 2F*       |     7/2 |21418.75
                                |           |     5/2 |31568.08
                                |           |         |                
4f14.5d                         | 2D        |     3/2 |22960.8
                                |           |     5/2 |24332.69
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(3D)      | 3[3/2]*   |     5/2 |26759.02
                                |           |     3/2 |28757.98
                                |           |     1/2 |33653.86
                                |           |         |                
4f14.6p                         | 2P*       |     1/2 |27061.82
                                |           |     3/2 |30392.23
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(3D)      | 3[11/2]*  |     9/2 |30224.33
                                |           |    11/2 |30562.79
                                |           |    13/2 |31631.59
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(3D)      | 3[5/2]*   |     7/2 |31979.9
                                |           |     5/2 |32371.1
                                |           |     3/2 |32981.59
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(3D)      | 3[7/2]*   |     9/2 |33052.29
                                |           |     5/2 |34389.76
                                |           |     7/2 |35059
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(3D)      | 3[9/2]*   |     7/2 |33494.68
                                |           |     9/2 |35019.13
                                |           |    11/2 |35831.68
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(1D)      | 1[3/2]*   |     3/2 |34575.37
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(1D)      | 1[11/2]*  |    11/2 |34784.95
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(1D)      | 1[5/2]*   |     5/2 |37077.59
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(1D)      | 1[7/2]*   |     7/2 |37516.59
                                |           |         |                
4f13.(2F*<7/2>).5d.6s.(1D)      | 1[9/2]*   |     9/2 |38342.02
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | 3[1/2]*   |     1/2 |39378.89
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | 3[9/2]*   |     7/2 |40035.82
                                |           |     9/2 |40917.91
                                |           |    11/2 |42915.13
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | 3[3/2]*   |     5/2 |41678.73
                                |           |     3/2 |41688.45
                                |           |     1/2 |43007.79
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | 3[5/2]*   |     3/2 |43075.09
                                |           |     5/2 |43956.41
                                |           |     7/2 |44438.03
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | 3[7/2]*   |     5/2 |44497.51
                                |           |     7/2 |45429.82
                                |           |     9/2 |46169.78
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(3D)      | *         |     3/2 |44940.61
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[5/2]*   |     5/2 |45012.79
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     7/2 |45273.02
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(1D)      | 1[9/2]*   |     9/2 |45335.03
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     3/2 |45737.29
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[7/2]*   |     9/2 |46354.55
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[13/2]*  |    11/2 |46547.72
                                |           |    13/2 |47680.4
                                |           |    15/2 |48923.3
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[3/2]*   |     1/2 |46902.71
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(1D)      | 1[3/2]*   |     3/2 |47005.46
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(1D)      | 1[1/2]*   |     1/2 |47228.96
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(1D)      | 1[5/2]*   |     5/2 |47329.44
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[11/2]*  |     9/2 |47663.52
                                |           |    11/2 |48503.82
                                |           |    13/2 |49727.19
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     7/2 |47758.54
                                |           |         |                
4f13.(2F*<7/2>).6s.6p.(3P*<0>)  | (7/2,0)   |     7/2 |47912.31
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[1/2]*   |     3/2 |48024.7
                                |           |     1/2 |49419.13
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     5/2 |48272.77
                                |           |         |                
4f13.(2F*<5/2>).5d.6s.(1D)      | 1[7/2]*   |     7/2 |48556.57
                                |           |         |                
4f13.(2F*<7/2>).6s.6p.(3P*<1>)  | (7/2,1)   |     7/2 |48900.41
                                |           |     9/2 |49301.16
                                |           |     5/2 |49498.04
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | 3[9/2]*   |     7/2 |49008.93
                                |           |     9/2 |49916.5
                                |           |    11/2 |50468.05
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     3/2 |50832.65
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3F)        | *         |     5/2 |51248.86
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[1/2]*   |     1/2 |52067.87
                                |           |         |                
4f13.(2F*<7/2>).6s.6p.(3P*<2>)  | (7/2,2)   |    11/2 |52517.35
                                |           |     3/2 |52938.01
                                |           |     5/2 |53404.96
                                |           |     7/2 |53715.26
                                |           |     9/2 |53720.71
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3P)        | 3[7/2]*   |     9/2 |52880.75
                                |           |     7/2 |52921.62
                                |           |     5/2 |53120.58
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[3/2]*   |     3/2 |52987.76
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[15/2]*  |    15/2 |53322.89
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1D)        | 1[7/2]*   |     7/2 |53644.89
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | *         |     5/2 |53716.38
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1D)        | 1[11/2]*  |    11/2 |54192.51
                                |           |         |                
4f14.7s                         | 2S        |     1/2 |54304.3
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1D)        | 1[9/2]*   |     9/2 |54640.82
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1D)        | 1[3/2]*   |     3/2 |55221.46
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3P)        | 3[9/2]*   |     7/2 |55462.68
                                |           |     9/2 |56088.39
                                |           |    11/2 |56621.15
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3F*<2>)  | (7/2,2)   |     3/2 |55702.07
                                |           |     5/2 |58823.58
                                |           |    11/2 |58961.37
                                |           |     7/2 |61051.06
                                |           |     9/2 |61214.66
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3P)        | *         |     5/2 |56056.91
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(1P*<1>)  |           |     5/2 |56375.91
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[11/2]*  |     9/2 |56480.77
                                |           |    11/2 |58051.51
                                |           |    13/2 |59632.21
                                |           |         |                
4f13.(2F*<7/2>).5d2.(3P)        | 3[5/2]*   |     7/2 |56500.64
                                |           |     5/2 |57798.51
                                |           |     3/2 |58162.75
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | *         |     3/2 |56840.04
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[1/2]*   |     1/2 |56977.71
                                |           |     3/2 |59777.07
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[7/2]*   |     7/2 |57103.02
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[9/2]*   |     7/2 |57534.45
                                |           |     9/2 |59046.89
                                |           |    11/2 |61442.82
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[13/2]*  |    13/2 |57561.62
                                |           |         |                
4f13.(2F*<7/2>).6s.6p.(1P*<1>)  | (7/2,1)   |     9/2 |57765.32
                                |           |         |                
4f13.(2F*<5/2>).6s.6p.(3P*<0>)  | (5/2,0)   |     5/2 |58283.91
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[9/2]*   |     9/2 |58484.54
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[7/2]*   |     5/2 |58661.13
                                |           |     7/2 |59624.66
                                |           |     9/2 |60649.86
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[3/2]*   |     1/2 |58672.53
                                |           |         |                
4f13.(2F*<7/2>).6s.6p.(1P*<1>)  |           |     7/2 |59090.13
                                |           |         |                
4f13.(2F*<5/2>).6s.6p.(3P*<1>)  | (5/2,1)   |     5/2 |59259.24
                                |           |     7/2 |59618.9
                                |           |     3/2 |59710.65
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | *         |     5/2 |59439.08
                                |           |         |                
4f13.(2F*<7/2>).5d2.(1G)        | 1[11/2]*  |    11/2 |59753.84
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3F*<3>)  | (7/2,3)   |     3/2 |60586.46
                                |           |     1/2 |61120.49
                                |           |    13/2 |61873.4
                                |           |     5/2 |64055.82
                                |           |     9/2 |64923.11
                                |           |     7/2 |65093.14
                                |           |    11/2 |66082.25
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | *         |     3/2 |60910.14
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(1D*<2>)  |           |     5/2 |61374.49
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3D*<2>)  |           |     7/2 |61822.58
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | 3[5/2]*   |     7/2 |62046.07
                                |           |         |                
4f13.(2F*<5/2>).6s.6p.(3P*<2>)  | (5/2,2)   |     1/2 |62136.94
                                |           |     3/2 |63011.85
                                |           |     9/2 |63163.79
                                |           |     5/2 |63702.32
                                |           |     7/2 |63957.8
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3F)        | *         |     5/2 |62163.92
                                |           |         |                
4f14.6d                         | 2D        |     3/2 |62174.1
                                |           |     5/2 |62559.02
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(1D*<2>)  |           |    11/2 |62861.27
                                |           |         |                
4f13.(2F*<5/2>).5d2.(3P)        | 3[5/2]*   |     3/2 |63028.26
                                |           |     5/2 |63417.03
                                |           |     7/2 |64169.39
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3D*<1>)  | (7/2,1)   |     5/2 |63234.11
                                |           |     9/2 |63726.83
                                |           |     7/2 |64598.28
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(1D*<2>)  |           |     3/2 |63647.73
                                |           |         |                
4f14.7p                         | 2P*       |     1/2 |63706.25
                                |           |     3/2 |65594.1
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3D*<2>)  | (7/2,2)   |    11/2 |63944.18
                                |           |     3/2 |64461.08
                                |           |     9/2 |65950.95
                                |           |     5/2 |66351.21
                                |           |     7/2 |66558
                                |           |         |                
4f13.(2F*<5/2>).5d2.(1G)        | 1[3/2]*   |     3/2 |64191.97
                                |           |         |                
4f13.(2F*<5/2>).5d2.(1D)        | 1[9/2]*   |     9/2 |64365
                                |           |         |                
4f13.(2F*<7/2>).5d.6p.(3F*<4>)  | (7/2,4)   |    15/2 |64891.3
                                |           |     3/2 |65888.46
                                |           |     5/2 |66395.72
                                |           |     1/2 |66462.86
                                |           |    11/2 |68148.88
                                |           |     7/2 |68450.11
                                |           |     9/2 |68549.23
                                |           |    13/2 |68720.44
                                |           |         |                
4f13.(2F*<5/2>).5d2.(1D)        | *         |     7/2 |64970.74
                                |           |         |                
